자치구,동,아파트,준공연도,세대수,전용면적_㎡,KB시세_억원,시세기준일,KB링크,기준행,리센츠_대비,입주년월
송파구,잠실동,리센츠,2008,5563,84.99,33.5,2026-07-31,https://kbland.kr/se/c/15524,True,0.0,200807
강남구,개포동,디에이치퍼스티어아이파크,2023,6702,84.865,35.0,2026-07-31,https://kbland.kr/se/c/50176,False,0.0447761194029849,202312
강남구,개포동,개포래미안포레스트,2020,2296,84.845,33.8333,2026-07-31,https://kbland.kr/se/c/39203,False,0.0099492537313432,202009
강남구,개포동,래미안블레스티지,2019,1957,84.94,33.75,2026-07-31,https://kbland.kr/se/c/32909,False,0.007462686567164,201902
강남구,개포동,경남,1984,678,84.66,32.0,2026-07-31,https://kbland.kr/se/c/36392,False,-0.044776119402985,198403
강남구,대치동,대치삼성(래미안),2000,960,84.58,34.0,2026-07-31,https://kbland.kr/se/c/189,False,0.0149253731343284,200007
강남구,도곡동,개포한신,1985,620,83.86,35.0,2026-07-31,https://kbland.kr/se/c/161,False,0.0447761194029849,198512
강남구,도곡동,도곡동삼성래미안,2001,732,84.825,32.375,2026-07-31,https://kbland.kr/se/c/176,False,-0.0335820895522388,200112
강남구,삼성동,삼성동힐스테이트1단지,2009,1144,84.375,35.0,2026-07-31,https://kbland.kr/se/c/15758,False,0.0447761194029849,200901
강남구,삼성동,삼성동힐스테이트2단지,2009,926,84.385,34.0,2026-07-31,https://kbland.kr/se/c/15759,False,0.0149253731343284,200901
강남구,삼성동,롯데캐슬프레미어,2007,713,84.47,32.0,2026-07-31,https://kbland.kr/se/c/14767,False,-0.044776119402985,200703
강남구,삼성동,삼성동중앙하이츠빌리지,2004,298,84.71000000000001,32.0,2026-07-31,https://kbland.kr/se/c/13207,False,-0.044776119402985,200412
강남구,역삼동,개나리SK뷰,2012,240,84.985,34.0,2026-07-31,https://kbland.kr/se/c/25248,False,0.0149253731343284,201208
강남구,역삼동,개나리푸르지오,2006,332,84.83000000000001,32.75,2026-07-31,https://kbland.kr/se/c/14175,False,-0.0223880597014924,200608
강남구,역삼동,개나리래미안,2006,438,84.935,32.5,2026-07-31,https://kbland.kr/se/c/14176,False,-0.0298507462686566,200608
강남구,역삼동,역삼e-편한세상,2005,840,84.83,32.5,2026-07-31,https://kbland.kr/se/c/13850,False,-0.0298507462686566,200512
강남구,역삼동,테헤란아이파크,2014,411,84.64,32.5,2026-07-31,https://kbland.kr/se/c/25648,False,-0.0298507462686566,201401
강남구,일원동,우성7차(개포),1987,802,83.69,32.75,2026-07-31,https://kbland.kr/se/c/121,False,-0.0223880597014924,198712
강남구,일원동,가람,1993,496,84.95,32.0,2026-07-31,https://kbland.kr/se/c/132,False,-0.044776119402985,199303
강남구,일원동,디에이치포레센트,2021,184,84.94,32.0,2026-07-31,https://kbland.kr/se/c/45353,False,-0.044776119402985,202101
강남구,청담동,진흥,1984,375,83.58,34.0,2026-07-31,https://kbland.kr/se/c/60,False,0.0149253731343284,198407
서초구,방배동,방배그랑자이,2021,758,84.97,33.0,2026-07-31,https://kbland.kr/se/c/45354,False,-0.0149253731343284,202107
서초구,서초동,래미안서초에스티지S,2018,593,84.8,34.5,2026-07-31,https://kbland.kr/se/c/32109,False,0.0298507462686568,201801
서초구,서초동,서초푸르지오써밋,2017,907,84.94,34.5,2026-07-31,https://kbland.kr/se/c/29882,False,0.0298507462686568,201706
서초구,서초동,래미안서초에스티지,2016,421,83.6,32.5,2026-07-31,https://kbland.kr/se/c/29879,False,-0.0298507462686566,201612
서초구,잠원동,잠원한신,1992,540,84.52,34.0,2026-07-31,https://kbland.kr/se/c/1529,False,0.0149253731343284,199207
서초구,잠원동,한강,1989,450,84.53,33.5,2026-07-31,https://kbland.kr/se/c/1522,False,0.0,198907
서초구,잠원동,신반포(한신16차),1983,396,83.12,33.0,2026-07-31,https://kbland.kr/se/c/1538,False,-0.0149253731343284,198306
